tier_sample,kap
PT023805915,0.978865727856889
PT523799875,0.978865727856889
PT723658015,0.978865727856889
PT623583704,0.978865727856889
PT923966027,0.9788645142831668
PT523769910,0.978865727856889
PT023396456,0.978865727856889
PT723474950,0.9788645142831668
PT023480600,0.978865727856889
PT523085848,0.978865727856889
PT223476701,0.9788645142831668
PT123769875,0.978865727856889
PT223802666,0.978865727856889
PT023802667,0.978865727856889
PT323474933,0.978865727856889
PT123621789,0.9788645142831668
PT123799896,0.978865727856889
PT023974753,0.9788645142831668
PT723767731,0.978865727856889
PT923583699,0.978865727856889
PT423396430,0.978865727856889
PT223767729,0.978865727856889
PT423621858,0.978865727856889
PT723805945,0.978865727856889
PT423620929,0.978865727856889
PT024513869,0.978865727856889
PT424513003,0.978865727856889
PT524987172,0.9788645142831668
PT624987181,0.978865727856889
PT824914674,0.978865727856889
PT424986494,0.9788645142831668
PT623806044,0.978865727856889
PT923712082,0.9788645142831668
PT224957247,0.978865727856889
PT823583722,0.978865727856889
PT623806020,0.978865727856889
PT733027431,0.978865727856889
PT724513856,0.978865727856889
PT624513002,0.978865727856889
PT633027441,0.978865727856889
PT224513004,0.978865727856889
PT524914685,0.9788645142831668
PT624096609,0.978865727856889
PT124148445,0.9788645142831668
PT523583719,0.9788645142831668
PT924854279,0.978865727856889
PT524148448,0.978865727856889
PT524015264,0.978865727856889
PT124515292,0.9788645142831668
PT633012794,0.9788645142831668
PT324096615,0.978865727856889
PT133012645,0.978865727856889
