tier_sample,kap_X,kap
PT023805915,0.1054559831169468,0.9788657471240069
PT523799875,0.11515821293650505,0.9788657474524743
PT723658015,0.11962691170343392,0.9788657459547361
PT623583704,0.10861504647384565,0.9788657464835917
PT923966027,0.11836491610577396,0.9788657477270917
PT523769910,0.09543566037589696,0.9788657464749007
PT023396456,0.10964333556893491,0.9788657457533062
PT723474950,0.11778502141974018,0.9788657012017706
PT023480600,0.1223290479168706,0.9788657469801079
PT523085848,0.12097821777064327,0.9788657475353191
PT223476701,0.1253731744569026,0.9788657409008876
PT123769875,0.1053666441825874,0.9788657464847381
PT223802666,0.1020296721928183,0.9788657474842085
PT023802667,0.09851313995847404,0.9788657477210713
PT323474933,0.09935681630950169,0.9788657455735909
PT123621789,0.12751808734087622,0.9788656910484355
PT123799896,0.10895190139194758,0.9788657463221686
PT023974753,0.1230479998503553,0.978865745290948
PT723767731,0.11224397637895014,0.9788657475006005
PT923583699,0.10368591819470792,0.978865746922914
PT423396430,0.11723475141819557,0.9788657469945751
PT223767729,0.10360547123464431,0.9788657467140726
PT423621858,0.11138783470237068,0.9788657466345041
PT723805945,0.1147182547147168,0.9788657462190858
PT423620929,0.1019818070436048,0.9788657456980453
PT024513869,0.11890623120979472,0.9788657465984621
PT424513003,0.11892779638778123,0.9788657477531546
PT524987172,0.13176224439197126,0.9788657472890555
PT624987181,0.12332550498161587,0.9788657476213385
PT824914674,0.12908236905938122,0.9788657475207487
PT424986494,0.12778433394071959,0.9788657468729415
PT623806044,0.1058153085720129,0.9788657477123864
PT923712082,0.13352206083184037,0.9788657476806644
PT224957247,0.12016405357552717,0.9788657473763672
PT823583722,0.10714048599737551,0.9788657466158198
PT623806020,0.1172405342575859,0.9788657472911139
PT733027431,0.11602319534325203,0.97886574725868
PT724513856,0.11664440968313364,0.978865747601481
PT624513002,0.1160539595628572,0.9788657473242584
PT633027441,0.126410196712069,0.9788657472848583
PT224513004,0.12412130000889775,0.9788657474380785
PT524914685,0.1333085269143709,0.9788657476104328
PT624096609,0.10926185836541917,0.9788657477008552
PT124148445,0.1311076521622987,0.9788657465693421
PT523583719,0.16717268563831367,0.978865742172774
PT924854279,0.11229544126611299,0.9788657476627732
PT524148448,0.12065003104025161,0.9788657475752903
PT524015264,0.12258610943289328,0.9788657476717628
PT124515292,0.12979681139959987,0.978865747375523
PT633012794,0.15424260960911318,0.9788657092756126
PT324096615,0.1242191481852121,0.978865747213214
PT133012645,0.12718502144117214,0.9788657473731336
