tier_sample,kap_X,p_M
PT023805915,0.10834277882955465,86.93245918872327
PT523799875,0.11766774118152531,89.68760330246184
PT723658015,0.12082576664921957,95.51387335275383
PT623583704,0.11019793491344243,92.86574645368881
PT923966027,0.11919795129237966,96.99825654722488
PT523769910,0.09875745162011916,83.35670056946148
PT023396456,0.11141804596204924,92.46819808007444
PT723474950,0.11819259861041925,98.7945845149082
PT023480600,0.12393194343859093,93.9854506265467
PT523085848,0.12324251817536883,91.19054942775406
PT223476701,0.12613421228274868,97.49813599443857
PT123769875,0.10708908367091771,92.35771939688979
PT223802666,0.1046105633646304,87.91224115112342
PT023802667,0.1015511334167391,85.29851822009127
PT323474933,0.10287561401433484,83.06026177762827
PT123621789,0.1271800577909621,101.97886140270697
PT123799896,0.11159573275460807,88.43466625728507
PT023974753,0.12441259522414273,94.99219204343842
PT723767731,0.11422361326341106,91.7479404348419
PT923583699,0.10509987564512982,92.36719705328824
PT423396430,0.1186140579166412,94.67947725883809
PT223767729,0.10563893396238538,90.83741904384529
PT423621858,0.1136387510805198,90.4713641799404
PT723805945,0.1159097034379346,95.34754475382297
PT423620929,0.10453860925451666,88.03124735114481
PT024513869,0.12124999748782503,90.8924439708783
PT424513003,0.12227541747687375,86.74971188089896
PT524987172,0.13294915156748982,96.18428215420954
PT624987181,0.1266071997879177,87.4836391241478
PT824914674,0.1322969023236366,88.35349287927514
PT424986494,0.12924621425680827,94.98615753758182
PT623806044,0.10910352563936276,85.404174000485
PT923712082,0.13559134409464485,92.98614394434283
PT224957247,0.12375236386538775,85.93485543535732
PT823583722,0.11127687605751914,81.54465026772536
PT623806020,0.12087980371898341,85.1265610166954
PT733027431,0.11930398497790148,86.71403499456275
PT724513856,0.1199980261957985,86.47323968985197
PT624513002,0.11932706760814407,86.44143233436361
PT633027441,0.13022131663887926,85.83315302920886
PT224513004,0.12711623781310835,88.70848497007759
PT524914685,0.13512467583948246,93.93294287197983
PT624096609,0.11355534611011234,79.62756435441051
PT124148445,0.13255198630314607,95.20003175478578
PT523583719,0.1696415926586697,93.56364587106229
PT924854279,0.11633166160868498,83.05898016401125
PT524148448,0.1230374495454607,90.8727850678977
PT524015264,0.1259676692233363,87.03596262263835
PT124515292,0.13267961307751885,89.66741889185192
PT633012794,0.1519803407297597,108.5136143223425
PT324096615,0.12748634140654763,87.6674139627423
PT133012645,0.13031423658943442,88.51121682219863
