tier_sample,kap_X,v
PT023805915,0.10219192369750066,0.04770539547363858
PT623583704,0.10615880035174137,0.04845496554491582
PT923966027,0.11408618350802847,0.047293181225667
PT423620929,0.10008330433360357,0.048863598271204046
PT723805945,0.11102098920034169,0.04761514321927357
PT523799875,0.11049539658596305,0.046875433638403075
PT523085848,0.11549638682614992,0.04650553058042495
PT723767731,0.10859231451978812,0.04759323869947277
PT223767729,0.10197634689940635,0.049156474486937635
PT223476701,0.1191805231870681,0.046100279791591994
PT123769875,0.10310347283547272,0.04858596289537282
PT123621789,0.12140962020738195,0.046182365672827325
PT023974753,0.11705332176191344,0.046131828636302816
PT023396456,0.10641996812836013,0.047848946362130995
PT523769910,0.09404173849270933,0.049248983946323696
PT223802666,0.10053207049203666,0.04925060001979373
PT423396430,0.11261660649838037,0.04694122350199892
PT323474933,0.09778586980676315,0.049139276179051304
PT723658015,0.11487538512241348,0.04698803865047416
PT923583699,0.10273869038352601,0.049590083989938236
PT023480600,0.11648199911083174,0.04622743959690262
PT123799896,0.10582133643175537,0.04794964167889433
PT423621858,0.10725755370512974,0.047126701762059804
PT023802667,0.09720275095521563,0.049382115718035996
PT723474950,0.11397609866896542,0.04765948989819819
PT923712082,0.12409134584814119,0.044442161359342265
PT624096609,0.10342480509977693,0.04579556598091767
PT733027431,0.11022610466043395,0.04621699585414282
PT524015264,0.11508078065624597,0.04521373746531254
PT623806044,0.10254431829410317,0.04795607240756719
PT424513003,0.11224549734350203,0.04564591369259318
PT524987172,0.12305706267530732,0.044684116628515486
PT633012794,0.14023065932475726,0.042699087584531385
PT924854279,0.10761992990742655,0.04701717032077028
PT633027441,0.11803552030004243,0.04481218753718132
PT624987181,0.11510900525361498,0.044641635560988754
PT523583719,0.14687932082603422,0.04019563601868533
PT524148448,0.11475699274898313,0.04637650588924304
PT724513856,0.11071989478949462,0.046153165077503625
PT224513004,0.11616755436986542,0.04490730729358981
PT224957247,0.11327079500631822,0.04556099330458756
PT624513002,0.10987220863595554,0.04586453046276393
PT424986494,0.12010824806053759,0.04531135859944706
PT024513869,0.1133008974915511,0.0465063180267672
PT133012645,0.11935588412312327,0.04527848601997237
PT124515292,0.12026942778753853,0.044046583393043334
PT824914674,0.12024172864522119,0.04461509367495258
PT324096615,0.11602002309871262,0.044737112495051266
PT524914685,0.12417973733260794,0.04467557272316064
PT623806020,0.11042776813614746,0.04543594496356513
PT124148445,0.12290137699009257,0.04523000912695167
PT823583722,0.10251935725809241,0.046809241179810446
