tier_sample,kap_X
PT023805915,0.10415790828965023
PT523799875,0.11373013641494548
PT723658015,0.11813109892387413
PT623583704,0.10733608194970887
PT923966027,0.11689753660497001
PT523769910,0.09425708932831506
PT023396456,0.10829492078274351
PT723474950,0.11631038248811172
PT023480600,0.1208136929623643
PT523085848,0.11946162247308512
PT223476701,0.12381410436686033
PT123769875,0.10407710726439451
PT223802666,0.10076426522890967
PT023802667,0.0972844344078963
PT323474933,0.09812476507055588
PT123621789,0.12595802490364566
PT123799896,0.10760003196554424
PT023974753,0.12153012871963173
PT723767731,0.11085361991584156
PT923583699,0.10259575513470615
PT423396430,0.11579325592647506
PT223767729,0.10231025817880257
PT423621858,0.1100240627232161
PT723805945,0.11329919761358159
PT423620929,0.10072655808379033
PT024513869,0.11742351674209574
PT424513003,0.11745324722537052
PT524987172,0.1301660018736691
PT624987181,0.12180578997679922
PT824914674,0.12746647399231853
PT424986494,0.12619400930815772
PT623806044,0.10450180499227599
PT923712082,0.131854693323677
PT224957247,0.11866625094298179
PT823583722,0.10582862826492909
PT623806020,0.11580617845194735
PT733027431,0.11458128254102617
PT724513856,0.11519373049648675
PT624513002,0.11465263570088566
PT633027441,0.12483235317417246
PT224513004,0.12258472863859862
PT524914685,0.13162279555413367
PT624096609,0.10801679183395335
PT124148445,0.12944057808176435
PT523583719,0.16502796656168353
PT924854279,0.11088875651829767
PT524148448,0.11913599257872341
PT524015264,0.12106252789492958
PT124515292,0.12820378997753323
PT633012794,0.15238656507324438
PT324096615,0.12268581228173288
PT133012645,0.1255815613526971
