tier_sample,p_M,kap
PT023805915,97.28083628729416,0.982337124755976
PT623583704,97.28083628729416,0.9823371247559765
PT923966027,97.28083628732514,0.9823371247559636
PT423620929,97.28083628729416,0.9823371247559765
PT723805945,97.28083628732514,0.9823371247559636
PT523799875,97.28083628729416,0.982337124755976
PT523085848,97.28083628732514,0.9823371247559636
PT723767731,97.28083628729416,0.982337124755976
PT223767729,97.28083628729416,0.982337124755976
PT223476701,97.28083628732514,0.9823371247559636
PT123769875,97.28083628729416,0.9823371247559765
PT123621789,97.28083628732514,0.9823371247559636
PT023974753,97.28083628732514,0.9823371247559636
PT023396456,97.28083628729416,0.982337124755976
PT523769910,97.28083628729416,0.9823371247559765
PT223802666,97.28083628729416,0.9823371247559765
PT423396430,97.28083628732514,0.9823371247559636
PT323474933,97.28083628729416,0.9823371247559765
PT723658015,97.28083628732514,0.9823371247559636
PT923583699,97.28083628729416,0.982337124755976
PT023480600,97.28083628732514,0.9823371247559636
PT123799896,97.28083628729416,0.9823371247559765
PT423621858,97.28083628729416,0.982337124755976
PT023802667,97.28083628729416,0.9823371247559765
PT723474950,97.28083628732514,0.9823371247559636
PT923712082,105.83208672235939,0.9277148326717968
PT624096609,84.08491142585488,0.9869264203640521
PT733027431,94.48423948557905,0.9833731500924291
PT524015264,98.33994455806608,0.9819356738013981
PT623806044,87.64157905130998,0.9857635130506145
PT424513003,96.10132609930187,0.9827783185096872
PT524987172,107.09450652966355,0.9171973582841408
PT633012794,119.25676245884725,0.8234228276643589
PT924854279,89.05575738069246,0.9852861203896491
PT633027441,99.18504592274441,0.9816117312373596
PT624987181,99.1662509371397,0.9816189706373573
PT523583719,114.71598075413954,0.8556374478616127
PT524148448,100.68922934221669,0.97665483295446
PT724513856,94.59515137725717,0.983332721341363
PT224513004,100.56091643238649,0.9778457159563416
PT224957247,95.98144916047704,0.9828228117738149
PT624513002,94.17044855275087,0.9834872370380505
PT424986494,105.2275195967583,0.9333887574421481
PT024513869,100.03252284403486,0.9812836461606012
PT133012645,101.4172574001726,0.9692516897062913
PT124515292,102.88126461449738,0.9552448696149918
PT824914674,101.89152865326325,0.9645605232156081
PT324096615,99.82409905795015,0.9813646343942386
PT524914685,106.29637233418057,0.9233758934631207
PT623806020,93.57219336463044,0.9837035477235407
PT124148445,106.3073045345261,0.9232067690633874
PT823583722,84.858263556438,0.9866781296505126
