tier_sample,p_M
PT023805915,82.19372531229331
PT623583704,89.01472335615904
PT923966027,98.1354588673558
PT423620929,81.20951162958258
PT723805945,94.57389755766101
PT523799875,89.88675015751227
PT523085848,94.41006103064717
PT723767731,90.05759335029862
PT223767729,84.41174508861084
PT223476701,102.63394332296345
PT123769875,86.63721724735305
PT123621789,108.00348291762256
PT023974753,99.02469033148378
PT023396456,89.17757930653802
PT523769910,73.94322668406474
PT223802666,81.17418412772959
PT423396430,95.45237833613807
PT323474933,75.78112852250067
PT723658015,97.55965535305127
PT923583699,86.29124306758635
PT023480600,97.70588607230339
PT123799896,85.39143920446833
PT423621858,88.47212573244303
PT023802667,77.11358953990432
PT723474950,99.37842889533174
PT923712082,104.71883784067076
PT624096609,79.85218214821705
PT733027431,89.78042316054092
PT524015264,93.4798054362506
PT623806044,83.21810993069715
PT424513003,91.34305489935693
PT524987172,106.84768177292088
PT633012794,129.92674221481775
PT924854279,84.55126277455174
PT633027441,94.2763209099644
PT624987181,94.31022375617869
PT523583719,120.85126223815035
PT524148448,96.01408768884016
PT724513856,89.88349942937096
PT224513004,95.85690176548299
PT224957247,91.21764528281349
PT624513002,89.50326023700921
PT424986494,103.65481869918982
PT024513869,95.08693524622379
PT133012645,97.22064117824881
PT124515292,99.67809633998358
PT824914674,98.0234894300894
PT324096615,94.92461565065733
PT524914685,105.5527785342315
PT623806020,88.92894554293676
PT124148445,105.59145403309269
PT823583722,80.55836185347422
