tier_sample,v
PT023805915,0.056930196937697596
PT623583704,0.055183871878259017
PT923966027,0.04910768792144773
PT423620929,0.05990922203909281
PT723805945,0.05123409549382294
PT523799875,0.050684516725117264
PT523085848,0.04750004161672927
PT723767731,0.05264656429189826
PT223767729,0.05892306200552751
PT223476701,0.04521954653910947
PT123769875,0.05747463945622845
PT123621789,0.044197432754320434
PT023974753,0.046334112827045276
PT023396456,0.05435179934993828
PT523769910,0.06509683471566034
PT223802666,0.060022219542938834
PT423396430,0.04958535918770593
PT323474933,0.061845588354999696
PT723658015,0.048347522895574466
PT923583699,0.05884601825290522
PT023480600,0.04671933159015673
PT123799896,0.054762699363923834
PT423621858,0.05296501180273705
PT023802667,0.0627238871348938
PT723474950,0.049549405436482195
PT923712082,0.040628839592921046
PT624096609,0.05259645255068415
PT733027431,0.04911325471212789
PT524015264,0.045500017989437286
PT623806044,0.0558435876810181
PT424513003,0.04740923443056269
PT524987172,0.04123550649944688
PT633012794,0.033099032694276886
PT924854279,0.051459628188838084
PT633027441,0.04368893884201458
PT624987181,0.044911194227221035
PT523583719,0.02933985856707297
PT524148448,0.04684717538481081
PT724513856,0.04876531339809102
PT224513004,0.044661390206886864
PT224957247,0.046775802807572486
PT624513002,0.04893482326903206
PT424986494,0.04316256608488188
PT024513869,0.04774825417244478
PT133012645,0.04351942897107354
PT124515292,0.04190388559336218
PT824914674,0.04247560502896293
PT324096615,0.04456325291318415
PT524914685,0.040807271036016876
PT623806020,0.04815864649156518
PT124148445,0.04186893812243708
PT823583722,0.054421590144228885
