,breed,individual
PT023396456,male,PT023396456
PT023480600,male,PT023480600
PT023802667,male,PT023802667
PT023805915,male,PT023805915
PT023974753,male,PT023974753
PT024513869,male,PT024513869
PT123621789,male,PT123621789
PT123769875,male,PT123769875
PT123799896,male,PT123799896
PT124148445,male,PT124148445
PT124515292,male,PT124515292
PT133012645,male,PT133012645
PT223476701,male,PT223476701
PT223767729,male,PT223767729
PT223802666,male,PT223802666
PT224513004,male,PT224513004
PT224957247,male,PT224957247
PT323474933,male,PT323474933
PT324096615,male,PT324096615
PT423396430,male,PT423396430
PT423620929,male,PT423620929
PT423621858,male,PT423621858
PT424513003,male,PT424513003
PT424986494,male,PT424986494
PT523085848,male,PT523085848
PT523583719,male,PT523583719
PT523769910,male,PT523769910
PT523799875,male,PT523799875
PT524015264,male,PT524015264
PT524148448,male,PT524148448
PT524914685,male,PT524914685
PT524987172,male,PT524987172
PT623583704,male,PT623583704
PT623806020,male,PT623806020
PT623806044,male,PT623806044
PT624096609,male,PT624096609
PT624513002,male,PT624513002
PT624987181,male,PT624987181
PT633012794,male,PT633012794
PT633027441,male,PT633027441
PT723474950,male,PT723474950
PT723658015,male,PT723658015
PT723767731,male,PT723767731
PT723805945,male,PT723805945
PT724513856,male,PT724513856
PT733027431,male,PT733027431
PT823583722,male,PT823583722
PT824914674,male,PT824914674
PT923583699,male,PT923583699
PT923712082,male,PT923712082
PT923966027,male,PT923966027
PT924854279,male,PT924854279
