data,value,prediction,error
ab,284.0,271.9904983274445,0.042286977720265746
am,7300.0,7269.145380330532,0.004226660228694228
Ri,0.0022271714922048997,0.0022471116555751406,0.008953133353238173
tx_f,210.0,220.61353980229373,0.05054066572520824
tp_f,288.9583333333333,310.83832619167777,0.07572023483781785
Lhi_f,155.0,149.20198549606434,0.03740654518668168
Wwb_f,46000.0,47174.04994016734,0.025522824786246453
Wwx_f,155400.0,145375.74882659977,0.06450612080695131
Wwp_f,205000.0,186671.78246342664,0.08940593920279687
Wwi_f,400000.0,436344.5520802493,0.09086138020062325
tx_m,210.0,207.0158927138786,0.014210034695816191
tp_m,349.7916666666667,372.9461996411527,0.0661952104094895
Lhi_m,165.0,170.86670760180857,0.03555580364732467
Wwb_m,46000.0,53508.25454107758,0.16322292480603431
Wwx_m,177800.0,181556.02624432195,0.02112500699843619
Wwp_m,320000.0,297803.87287541607,0.06936289726432478
Wwi_m,700000.0,743354.074088135,0.06193439155447862
